# Encore clue bank — the LONG half. WORD|clue, one per line.
#
# Encore is the 9x9 weekday / 11x11 Sunday crossword, so it needs entry lengths
# the mini never used. This file carries 6, 8 and 9 letters; the 3, 4, 5 and 7
# letter entries come from scripts/emcee-wordbank.txt, which the generator reads
# alongside this one. Same hard rule as that file: EVERY CLUE IS HAND-WRITTEN
# AND CLUES ITS OWN ANSWER. Never generate a clue from a dictionary or WordNet
# gloss — a gloss defines a whole synonym set, so it reliably clues the wrong
# word, which is exactly the failure that forced the Emcee bank rebuild in
# August 2026. Everyday words only: no obscurities, no crosswordese.
#
# ── 6 letters ──────────────────────────────────────────────────────────────
ABSURD|Plainly ridiculous
QUESTION|What the mark is for
QUIETEST|Least noisy of all
RADIATOR|Room heater
RAILROAD|Track network
RAINBOWS|After-shower arcs
RAINCOAT|Wet-day wear
RAINDROP|One bit of the shower
RAINFALL|How much came down
RANCHERS|Cattle raisers
REACTION|What follows the action
READABLE|Clear enough to follow
REASONED|Thought it through
RECEIVED|Got it
RECEIVER|Phone part you pick up
RECENTLY|Not long ago
RECITALS|Music school evenings
RECKLESS|With no care at all
RECORDED|Put on tape
RECOVERY|Getting back on your feet
RECRUITS|New joiners
RECYCLED|Used again
REDBRICK|Like a lot of terraced houses
REDESIGN|Draw it up afresh
REDUCING|Bringing down
REFEREES|Whistle blowers
REFINERY|Where the crude is processed
REFLECTS|Bounces the light back
REFORMED|Turned over a new leaf
REFUGEES|Ones who fled
REGARDED|Thought of
REGIONAL|Of one part of the country
REGISTER|Sign in, or the till
REGULATE|Keep it in order
REHEARSE|Run it through before the night
RELATION|Family member
RELATIVE|Kin, or not absolute
RELAXING|Nice and easy
RELEASED|Let go
RELEVANT|Actually to the point
RELIABLE|You can count on it
RELIGION|Faith
REMAINED|Stayed on
REMEMBER|Bring back to mind
REMINDER|Note on the fridge
REMNANTS|Bits left over
REMOVING|Taking away
RENOVATE|Do the old place up
REPAIRED|Fixed
REPEATED|Said twice
REPLACED|Swapped in a new one
REPORTER|One with the notebook
REPUBLIC|No king here
RESEARCH|Digging into it
RESEMBLE|Look like
RESERVED|Booked, or a bit standoffish
RESIDENT|One who lives there
RESIGNED|Quit, or given in to it
RESISTED|Held out against
RESOURCE|Something to draw on
RESPECTS|Pays his
RESPONSE|The answer back
RESTORED|Brought back to its old self
RESULTED|Came about
RETAINED|Kept hold of
RETIRING|Hanging it up, or shy
RETRIEVE|Fetch it back
REUNIONS|Class get-togethers
REVEALED|Showed at last
REVENUES|What comes in at the till
REVERSED|Went backwards
REVIEWED|Looked over again
REVISION|The edited version
REVOLVER|Six-shooter
REWARDED|Paid for the trouble
RHETORIC|Big talk
RIDICULE|Laugh them out of it
RIGOROUS|Very thorough indeed
RIVERBED|Under the current
ROADSIDE|Where the diner sits
ROMANTIC|Candles and roses
ROOFTOPS|Where the chimneys are
ROOMMATE|The one sharing the rent
ROTATING|Going round
ROUGHEST|Most uneven of all
ROUNDING|Off to the nearest ten
ROUTINES|Daily habits
RUNNERUP|Second place, hyphen-free
SADDLING|Getting the horse ready
SAILBOAT|Wind-driven craft
SALESMAN|Door-to-door caller
SANCTION|Penalty on a country
SANDWICH|Lunchbox staple
SATURDAY|Weekend's first day
SAUSAGES|Breakfast links
SAVANNAH|Grassy African plain
SCAFFOLD|Builder's frame
SCANNING|Reading it quickly over
SCARCITY|Not enough to go round
SCATTERS|Throws about
SCHEDULE|The timetable
SCHOLARS|Learned ones
SCISSORS|Paper cutters
SCOOTERS|Kids' push rides
SCOREPAD|Where the bridge totals go
SCRAMBLE|What eggs can be
SCRAPING|Barrel's bottom action
SCRATCHY|Like a wool sweater
SCREAMED|Let out a shriek
SCREENED|Shown, or checked
SCULPTOR|Chisel worker
SEAGULLS|Beach scavengers
SEASHELL|Shore find you hold to your ear
SEASONAL|Only at certain times of year
SEAWATER|Salty stuff
SECRETLY|On the quiet
SECTIONS|Parts of the paper
SEDIMENT|What settles at the bottom
SEEDLING|Very young plant
SELECTED|Chosen
SELFLESS|Thinking of others first
SEMESTER|Half the school year
SENSIBLE|Level-headed
SENTENCE|Full stop ends it
SEPARATE|Keep apart
SEQUENCE|The order they come in
SERGEANT|Three-stripe rank
SERVANTS|Downstairs staff
SETTLERS|Ones who came and stayed
SEVERELY|Very harshly
SHATTERS|Breaks into pieces
SHEEPDOG|Flock herder
SHELVING|Where the books go
SHEPHERD|Flock keeper
SHIPMENT|Load on its way
SHIPYARD|Where the hulls are built
SHOCKING|Hard to believe
SHOELACE|You tie it
SHOOTING|Star, or gunfire
SHOPPING|Saturday errand
SHORTAGE|Not enough to go round
SHORTCUT|The quicker way
SHOULDER|Where the strap sits
SHOUTING|At the top of your voice
SHOVELED|Cleared the drive
SHOWCASE|Put it on display
SHOWERED|Took a wash
SIDEWALK|Where you walk in town
SIGNALED|Gave the sign
SIGNPOST|It tells you which way
SILENTLY|Without a sound
SILLIEST|Most absurd of all
SIMPLEST|Easiest of all
SINGULAR|Just the one
SITUATED|Positioned
SLEEPING|Out cold
SLIPPERS|House shoes
SLOWNESS|Lack of speed
SMALLEST|Tiniest of all
SMOOTHLY|Without a hitch
SNAPSHOT|Quick photo
SNOWBALL|Winter throw
SNOWFALL|Overnight covering
SNOWSHOE|Wide winter walker
SOCIABLE|Good company
SOFTBALL|Underhand-pitched game
SOFTENED|Took the edge off
SOFTNESS|Cushiony quality
SOLDIERS|Ones in uniform
SOLITARY|On your own
SOLUTION|The answer, or a mixture
SOMEBODY|A person unnamed
SOMETIME|One of these days
SONGBIRD|Dawn chorus member
SORCERER|Apprentice's master
SOUTHERN|Below the line
SOUVENIR|Holiday keepsake
SPACIOUS|Plenty of room
SPARKLED|Glittered
SPEAKERS|Ones at the podium, or the stereo pair
SPEAKING|Giving the address
SPECIALS|Board outside the pub
SPECIFIC|Exactly that one
SPECTRUM|Full range of colors
SPEEDING|Ticket cause
SPELLING|Bee subject
SPENDING|Where the money goes
SPILLAGE|What the mop is for
SPINNING|Going round fast
SPLENDID|Absolutely first class
SPLINTER|Wood in the finger
SPONSORS|Shirt-front names
SPOTLESS|Not a mark on it
SPRAYING|Misting it on
SPRINKLE|Scatter lightly
SQUADRON|Flight formation
SQUARELY|Right on it
SQUIRREL|Nut burier
STABBING|Sharp, of a pain
STADIUMS|Big-crowd grounds
STAIRWAY|To heaven, in a song
STAMPEDE|The herd bolts
STANDARD|The usual measure
STANDING|On your feet
STARFISH|Five-armed tide pool find
STARLING|Flocking dark bird
STARTERS|First courses
STARTLED|Given a jump
STARVING|Absolutely famished
STATIONS|Where the trains stop
STATUTES|Laws on the books
STEALING|Taking what is not yours
STEAMING|Giving off vapor, or furious
STEEPEST|Sharpest climb of all
STERLING|British money, or first rate
STICKERS|Kids' reward labels
STIRRING|Moving, or with a spoon
STOCKING|Christmas hanger
STOMACHS|Where the butterflies are
STOPPING|Coming to a halt
STORMING|Charging in
STRAIGHT|No bends
STRANDED|Left with no way home
STRANGER|One you don't know
STRATEGY|The game plan
STREAMED|Watched it online
STRENGTH|What the weights build
STRESSED|Under pressure
STRETCHY|Like elastic
STRICTLY|With no exceptions
STRIKING|Very good-looking, or on the picket
STRIPPED|Taken right down
STRONGER|With more muscle
STRUGGLE|A real fight of it
STUBBORN|Won't budge
STUDENTS|Class members
STUDYING|Hitting the books
STUNNING|Absolutely gorgeous
STURDIER|Better built
SUBTRACT|Take away
SUBURBAN|Of the outskirts
SUCCEEDS|Pulls it off
SUFFERED|Went through it
SUGGESTS|Puts it forward
SUITABLE|Fit for the job
SUITCASE|Holiday packer
SUNBEAMS|Rays through the clouds
SUNBURNT|Red from the beach
SUNDRIES|Odds and ends
SUNLIGHT|What the curtains let in
SUNRISES|Dawn shows
SUNSHINE|Bright weather
SUPERIOR|Better, or a great lake
SUPERMAN|Cape wearer of Metropolis
SUPPLIED|Handed over the goods
SUPPLIES|Stores and stock
SUPPOSED|Meant to be
SUPPRESS|Keep the lid on
SURFACES|Tops of things
SURGEONS|Operating room doctors
SURNAMES|Family names
SURPRISE|Party you don't know about
SURVEYED|Looked over the land
SURVIVAL|Making it through
SURVIVED|Came through it
SUSPECTS|The usual ones
SUSPENDS|Hangs, or puts on hold
SWEATERS|Woolly tops
SWEETEST|Sugariest of all
SWIMMERS|Lane users
SWIMMING|In the pool
SWINGING|Back and forth
SYMPATHY|Card sent to the bereaved
SYMPHONY|Orchestral work
TAILGATE|Parking lot party before the game
TAKEAWAY|The point to remember
TALENTED|With real ability
TANGIBLE|You can put a hand on it
TAPESTRY|Woven wall hanging
TARGETED|Aimed at
TEACHERS|Ones at the front of the class
TEACHING|Running the class
TEAMMATE|One on your side
TEASPOON|Small stirrer
TEMPERED|Evened out, or of steel
TEMPLATE|Cut round it
TERMINAL|Airport building
TERRIBLE|Just dreadful
TERRIERS|Small feisty dogs
TERRIFIC|Absolutely great
TEXTBOOK|Class reading, or by the book
THANKFUL|Grateful
THEATERS|Where the plays run
THEORIES|Untested ideas
THICKEST|Densest of all
THIEVERY|Stealing
THINKING|Turning it over
THIRTEEN|Unlucky number
THOROUGH|Leaving nothing out
THOUSAND|Ten hundred
THREADED|Got it through the eye
THRILLED|Absolutely delighted
THROWING|Pitching
THUNDERS|Rumbles overhead
TIGHTEST|Snuggest of all
TIMELESS|It never dates
TOASTING|Raising a glass
TOGETHER|Side by side
TOLERANT|Willing to put up with it
TOMORROW|The day after this
TORTOISE|Slow shelled racer
TOWERING|Very tall indeed
TOWNHALL|Where the council meets
TRACKING|Following the trail
TRACTORS|Field machines
TRADEOFF|What you give to get
TRAINERS|Gym shoes, or the coaches
TRAINING|Getting into shape
TRAMPLED|Underfoot
TRANQUIL|Perfectly still
TRANSFER|Move it across
TRANSMIT|Send the signal
TRAPDOOR|Floor's secret opening
TRAVELED|Went about
TREASURE|X marks it
TREATIES|Signed agreements
TREETOPS|Where the canopy is
TREMBLED|Shook with nerves
TRIANGLE|Three-sided figure
TRIBUNAL|Panel that hears the case
TRIBUTES|Words said in honor
TRICKERY|Sleight of hand
TRIMMING|Cutting back the hedge
TRIUMPHS|Great wins
TROMBONE|Slide brass
TROOPERS|State highway police
TROPICAL|Of the hot latitudes
TROUBLED|Not at ease
TROUSERS|Pants
TRUCKERS|Long-haul drivers
TRUMPETS|Brass section
TRUSTING|Taking it on faith
TUMBLING|Falling over and over
TUNNELED|Dug through
TURNOVER|Staff coming and going, or a pastry
TURNPIKE|Toll highway
TWILIGHT|Just after sunset
TWISTING|Turning about
ULTIMATE|The very last, and the best
UMBRELLA|Rain shelter you carry
UNAFRAID|Not scared at all
UNBEATEN|Still not lost a game
UNBROKEN|Still in one piece
UNCOMMON|Rarely seen
UNDERAGE|Too young for it
UNDERDOG|The one not favored
UNDERWAY|Already started
UNEARTHS|Digs it up
UNEVENLY|In an unbalanced way
UNIFORMS|What the team wears
UNIVERSE|Everything there is
UNLOADED|Emptied out
UNLOCKED|Left open
UNPACKED|Emptied the case
UNSPOKEN|Understood without saying
UNSTABLE|Liable to topple
UNTANGLE|Sort out the knot
UNUSABLE|No good to anyone
UNWANTED|Nobody's asking for it
UPGRADED|Moved to a better one
UPSTAIRS|Where the bedrooms are
URGENTLY|With no delay
VACATION|Two weeks off
VACCINES|Shots that prevent
VALIDATE|Confirm it holds
VALUABLE|Worth a lot
VANISHED|Gone without a trace
VARIABLE|It changes
VARIANCE|Difference between them
VEHICLES|Cars and vans
VENTURED|Chanced it
VERANDAH|Porch, in the old spelling
VERTICAL|Straight up and down
VETERANS|Ones who served
VIBRATED|Buzzed
VICINITY|The area round about
VICTORIA|A Canadian capital
VILLAGES|Small settlements
VINEGARY|Sharp and sour
VIOLENCE|Fists and worse
VISITING|Dropping in
VITAMINS|Daily supplements
VOCALIST|The one who sings
VOLCANIC|Of the erupting kind
WALKWAYS|Paved paths
WANDERED|Roamed about
WARDROBE|Where the clothes hang
WARNINGS|Words to the wise
WARRANTS|Judge's papers
WASHROOM|Restroom
WATCHDOG|Regulator, or the barking kind
WATCHING|Keeping an eye on
WATERWAY|Canal or river
WEAKNESS|A soft spot
WEDDINGS|Aisle days
WEEKDAYS|Monday to Friday
WEEKENDS|Saturdays and Sundays
WEIGHING|On the scales
WELCOMED|Greeted warmly
WESTWARD|Toward the sunset
WHENEVER|Any time at all
WHEREVER|Any place at all
WHIRLING|Spinning about
WHISKERS|Cat's face hairs
WHISPERS|Quiet words
WHISTLED|Blew a tune
WHITECAP|Wave's foamy top
WILDFIRE|It spreads like this
WILDLIFE|The animals out there
WILLIAMS|Tennis sisters' surname
WINDMILL|Dutch landmark
WINGSPAN|Tip to tip
WINNINGS|What you take from the table
WINTERED|Spent the cold months
WIRELESS|No cables needed
WITHDRAW|Take it out of the account
WITHERED|Dried up and shrank
WONDERED|Was curious
WOODLAND|Trees and a path
WOODWORK|Trim around the doors and windows
WORKSHOP|Where the bench is
WORRYING|Fretting
WRAPPING|Christmas paper
WRECKAGE|What is left after the crash
WRESTLED|Grappled
WRINKLED|Needing an iron
YEARBOOK|Class photos bound
YOUNGEST|Last-born
YOURSELF|Do it
#
# ── 9 letters ──────────────────────────────────────────────────────────────
ABANDONED|Left behind for good
ABOLISHED|Done away with
ABSORBING|Soaking it up, or gripping
ACCEPTING|Willing to take it
ACCESSORY|Belt or scarf, or a lesser criminal
ACCORDION|Squeezebox
ACCOUNTED|Answered for
ACTIVATED|Switched on
ADDRESSED|Wrote the envelope, or spoke to
ADJECTIVE|Blue or fast, grammatically
ADJUSTING|Fine-tuning
ADMIRABLE|Worth looking up to
ADMISSION|Price at the gate, or a confession
ADMITTING|Owning up
ADORNMENT|Something added for show
ADVANTAGE|Tennis call, or the upper hand
ADVENTURE|A proper escapade
ADVERTISE|Take out the ad
AEROPLANE|Flier, in British spelling
AFFECTION|Warm fondness
AFTERNOON|Between lunch and evening
AGREEMENT|Both sides signed
ALLIGATOR|Everglades snapper
ALLOWANCE|Kid's weekly money
ALPHABETS|Sets of letters
ALTERNATE|Every other one
AMAZEMENT|Jaw-dropping wonder
AMBULANCE|Siren van
AMENDMENT|Change to the bill
AMUSEMENT|Park with rides, or fun
ANCESTORS|The generations before
ANECDOTES|Little stories told
ANNOUNCED|Made it public
ANNOYANCE|A minor irritation
ANTARCTIC|The far south
APARTMENT|City flat
APOLOGIZE|Say sorry
APPEALING|Rather tempting
APPEARING|Turning up
APPLAUDED|Clapped for
APPLIANCE|Fridge or washer
APPOINTED|Named to the post
APPRAISAL|What the valuer gives
APPROVING|Nodding along
ARCHITECT|Building designer
ARGUMENTS|Rows
ARTICHOKE|Leafy globe vegetable
ASCENDING|On the way up
ASSEMBLED|Put together
ASSERTION|A firm claim
ASSESSING|Sizing it up
ASSIGNING|Handing out the jobs
ASSISTANT|The helper
ASSURANCE|A firm promise
ASTRONAUT|One in the capsule
ATHLETICS|Track and field
ATTACHING|Fixing on
ATTEMPTED|Gave it a go
ATTENDANT|Parking lot worker
ATTENTION|Stand to
ATTRACTED|Drawn to
ATTRIBUTE|A quality, or credit it to
AUDIENCES|Full houses
AUTOMATIC|No hands needed
AVAILABLE|On offer
AWAKENING|Coming to, or a realization
AWARENESS|Knowing it is there
BACHELORS|Unmarried men
BACKBOARD|Behind the hoop
BACKPACKS|School carries
BACKSTAGE|Behind the curtain
BALLERINA|Toe-shoe dancer
BALLPOINT|Kind of pen
BANDSTAND|Park gazebo for the brass
BANISTERS|Stair rails
BARBECUES|Backyard cookouts
BARGAINED|Haggled
BARNYARDS|Farm enclosures
BARTENDER|The one pouring
BASKETFUL|As much as it holds
BATHROBES|After-shower wraps
BATTERIES|What the remote needs
BEACHBALL|Inflatable shore toy
BEAUTIFUL|Lovely to look at
BECKONING|Waving them over
BEEKEEPER|Hive tender
BEGINNERS|First-timers
BEGINNING|Where the story starts
BEHAVIORS|Ways of acting
BELIEVING|Taking it as true
BENEFITED|Was better off for it
BEVERAGES|Drinks
BILLBOARD|Roadside ad
BIRTHDAYS|Yearly celebrations
BLACKBIRD|Dark songbird of the hedgerow
BLACKENED|Charred
BLACKMAIL|Pay up or else
BLANKETED|Covered over
BLIZZARDS|Whiteout storms
BLOSSOMED|Came into flower
BLUEBERRY|Muffin fruit
BLUEPRINT|The plan on paper
BLUNDERED|Made a right mess of it
BOARDWALK|Seaside planking
BOATHOUSE|Where the rowing shells are
BODYGUARD|Star's shadow
BOOKSHELF|Where the novels sit
BOOKSTORE|Where you browse the shelves
BOTANICAL|Of plants
BOULEVARD|Wide tree-lined street
BOUNDLESS|Without limit
BOYFRIEND|Her fellow
BRACELETS|Wrist bands
BREAKDOWN|Roadside trouble, or the details
BREAKFAST|First meal
BREATHING|In and out
BRIEFCASE|Commuter's carry
BRIGHTEST|Most brilliant of all
BRILLIANT|Absolutely dazzling
BROADCAST|On the airwaves
BROTHERLY|Like kin, in Philadelphia's name
BRUSHWOOD|Kindling from the forest floor
BUCKETFUL|A full pail
BUILDINGS|What the skyline is made of
BULLDOZER|Site clearer
BUMBLEBEE|Fuzzy pollinator
BUTTERFLY|Swimming stroke, or the winged one
CABINETRY|Fitted kitchen work
CAFETERIA|School lunchroom
CALCULATE|Work out the sum
CALENDARS|Year planners
CAMPAIGNS|Runs for office
CANDIDATE|One on the ballot
CANDLELIT|Like a romantic dinner
CAPTIVITY|Zoo life
CAPTURING|Taking hold of
CARDBOARD|Box material
CARDIGANS|Buttoned sweaters
CARNATION|Buttonhole flower
CARNIVALS|Rides and sideshows
CARPENTER|Wood worker
CARPETING|Wall-to-wall
CARTWHEEL|Playground turn
CASHIERED|Dismissed from the service
CASSEROLE|Baked dish in one pot
CATALOGUE|List of what is for sale
CATHEDRAL|The bishop's church
CAUTIONED|Warned off
CELEBRATE|Break out the cake
CELEBRITY|A famous face
CERTAINLY|Without any doubt
CERTIFIED|Officially confirmed
CHALLENGE|Something to take on
CHAMPAGNE|Bubbly for the toast
CHARACTER|One in the story
CHARITIES|Good causes
CHATTERED|Talked away
CHECKLIST|Tick them off
CHECKMATE|Game over, in chess
CHEMISTRY|Lab subject, or a spark between them
CHERISHED|Held very dear
CHESTNUTS|Roasting nuts
CHILDHOOD|The early years
CHOCOLATE|Bar of Cadbury
CHRISTMAS|December twenty-fifth
CIGARETTE|Ashtray leaving
CIRCULATE|Get it round the room
CLARIFIED|Made it plain
CLASSICAL|Mozart's kind of music
CLASSMATE|One in your year
CLASSROOM|Where the desks are
CLEARANCE|Everything must go
CLIENTELE|The regulars
CLOAKROOM|Where the coats are checked
CLOCKWISE|The way the hands go
CLOSENESS|Being near
CLUBHOUSE|Where the members meet
COASTLINE|Where land meets sea
COATTAILS|Ride them to office
COCKROACH|Kitchen crawler
COCKTAILS|Bar mixes
COLLAPSED|Fell right in
COLLEAGUE|One you work with
COLLECTED|Gathered up, or composed
COLLECTOR|Stamp keeper
COLLISION|Crash
COLOSSEUM|Rome's great arena
COMBATANT|One in the fight
COMEDIANS|Ones after the laughs
COMMANDER|The one giving orders
COMMENTED|Had a word to say
COMMITTED|Fully in, or did the deed
COMMITTEE|Meeting group
COMMODITY|Coffee or copper, in trading
COMMUNITY|The neighborhood
COMPANION|One who goes along
COMPANIES|Firms
COMPARING|Putting side by side
COMPELLED|Made to do it
COMPETENT|Up to the job
COMPETING|In the running
COMPLAINT|What the letter is
COMPLETED|Finished off
COMPLEXES|Apartment blocks
COMPOSERS|Ones who write the music
COMPOSITE|Made of several parts
COMPUTERS|Screens and keyboards
CONCEALED|Kept out of sight
CONCERNED|Worried
CONCERTED|Made together, of an effort
CONCLUDED|Brought to an end
CONDITION|The state it is in
CONDUCTED|Led the orchestra
CONDUCTOR|Baton waver
CONFESSED|Owned up to it
CONFIDENT|Sure of yourself
CONFINING|Hemming in
CONFIRMED|Made certain
CONFLICTS|Clashes
CONFUSING|Hard to follow
CONFUSION|A right muddle
CONNECTED|Joined up
CONQUERED|Took by force
CONSCIOUS|Awake and aware
CONSENSUS|What everyone agrees
CONSIDERS|Thinks it over
CONSISTED|Was made up of
CONSTRUCT|Build
CONSULTED|Asked for advice
CONSUMERS|The buying public
CONTACTED|Got in touch with
CONTAINED|Held inside
CONTAINER|Box or tub
CONTINENT|Africa, for one
CONTINUED|Carried on
CONTRACTS|Signed papers
CONTRASTS|Marked differences
CONVERTED|Changed over
CONVICTED|Found guilty
CONVINCED|Won over
COOKBOOKS|Recipe collections
COOPERATE|Work together
CORNFIELD|Where the stalks stand
CORRECTED|Put right
CORRIDORS|Halls of power
COUNTDOWN|Ten, nine, eight
COUNTRIES|Nations
COURTROOM|Where the case is heard
COURTYARD|Enclosed open space
COWORKERS|Ones at the next desk
CRAFTSMAN|Skilled maker
CREATIONS|Things brought into being
CREATURES|Living things
CRESCENDO|Building to the loud bit
CRIMINALS|Ones with records
CRITICISM|The bad review
CRITICIZE|Pick holes in
CROCODILE|River snapper of the Nile
CROSSFIRE|Caught in it
CROSSROAD|Where you must choose
CROSSWORD|What you are filling in
CRUCIALLY|Above all
CUCUMBERS|Cool salad slicers
CULTIVATE|Work the soil
CUPBOARDS|Kitchen storage
CURIOSITY|It killed the cat
CUSTODIAN|Building caretaker
CUSTOMARY|The usual thing
CUSTOMERS|Shop visitors
DAFFODILS|Wordsworth's flowers
DANDELION|Wish-blowing weed
DANGEROUS|Not to be messed with
DAUGHTERS|Girls of the family
DAYDREAMS|Mind wanderings
DECEIVING|Pulling the wool over
DECIDEDLY|Quite definitely
DECISIONS|Calls to make
DECLARING|Stating it outright
DECORATED|Trimmed up, or given a medal
DECREASED|Went down
DEDICATED|Devoted to it
DEFENDANT|The one on trial
DEFENDERS|The back line
DEFENDING|Standing up for
DEFIANTLY|In open refusal
DELICIOUS|Very good indeed to eat
DELIGHTED|Absolutely thrilled
DELIVERED|Dropped at the door
DEMANDING|Asking a lot
DEMOCRACY|Rule by the people
DEPARTING|On the way out
DEPARTURE|The gate's other board
DEPENDENT|Relying on
DEPICTING|Showing in a picture
DEPRESSED|Very low
DESCENDED|Came down
DESCRIBED|Painted a picture of
DESERVING|Worthy of it
DESIGNERS|Fashion week names
DESIGNING|Drawing it up
DESIRABLE|Much wanted
DESTROYED|Wrecked utterly
DETAILING|Going through it point by point
DETECTIVE|Case cracker
DETECTORS|Alarms
DETERMINE|Settle it once and for all
DEVELOPED|Grew, or the film was
DEVELOPER|Builder of estates
DEVOTIONS|Prayers
DIAGNOSED|The doctor named it
DIFFERENT|Not the same
DIFFICULT|Hard going
DILIGENCE|Steady careful work
DIMENSION|Length, width or height
DINOSAURS|Jurassic residents
DIPLOMACY|The soft approach
DIRECTING|Calling the shots on set
DIRECTION|North, for one
DIRECTORS|Board members
DISAGREED|Would not have it
DISAPPEAR|Vanish
DISASTERS|Calamities
DISCHARGE|Let out of hospital
DISCLOSED|Let it out
DISCOUNTS|Money off
DISCOVERY|A new find
DISCUSSED|Talked it over
DISGUISED|In the wig and glasses
DISGUSTED|Absolutely put off
DISHONEST|Not straight
DISHWATER|What the plates soak in
DISMISSAL|The sack
DISORDERS|Conditions of ill health
DISPLAYED|Put on show
DISPUTING|Arguing over
DISRUPTED|Thrown off course
DISTANCES|How far apart
DISTORTED|Bent out of shape
DISTURBED|Put off, or unsettled
DIVERSITY|A good mix
DIVIDENDS|Payouts to shareholders
DOCUMENTS|Files
DOMINATED|Ran the whole show
DOORFRAME|Where the hinges hang
DRAGONFLY|Pond hoverer
DRAMATIST|Playwright
DRAWBACKS|The downsides
DRIVEWAYS|Where the cars sit
DRUMSTICK|Chicken leg, or a beater
DUPLICATE|Exact copy
DWELLINGS|Homes
EASYGOING|Not fussed about much
ECONOMICS|Supply and demand study
EDUCATION|What school gives
EFFECTIVE|It actually works
EFFICIENT|Wasting nothing
ELABORATE|Very fancy, or explain further
ELECTIONS|Ballot days
ELEGANTLY|With real style
ELEPHANTS|Trunked giants
ELEVATION|Height above sea level
ELEVATORS|Lifts
ELIMINATE|Knock out
ELSEWHERE|Somewhere other than here
EMBASSIES|Diplomatic buildings
EMBROIDER|Sew a pattern on
EMERGENCY|Nine-one-one call
EMPHASIZE|Put the weight on it
EMPLOYEES|The staff
EMPLOYERS|The bosses
ENCHANTED|Under a spell
ENCLOSURE|Fenced-off area
ENCOUNTER|A chance meeting
ENDURANCE|How long you can last
ENERGETIC|Full of go
ENFORCING|Making them keep to it
ENGINEERS|Bridge builders
ENJOYABLE|A good time
ENJOYMENT|Pleasure taken
ENROLLING|Signing up
ENTERTAIN|Have them over
ENTRANCES|Ways in
ENVELOPES|Stamped and addressed
EQUIPMENT|The kit
ESCALATOR|Moving stairs
ESSENTIAL|Absolutely needed
ESTIMATED|Reckoned roughly
EVACUATED|Cleared the building
EVALUATED|Judged its worth
EVERGREEN|Never loses its leaves
EVERYBODY|All present
EVIDENTLY|So it seems
EXCAVATED|Dug it out
EXCELLENT|Really very good
EXCEPTION|Prove the rule
EXCHANGED|Swapped over
EXCLUDING|Leaving out
EXCLUSIVE|Members only
EXECUTIVE|The one in the corner office
EXERCISES|Workouts
EXHAUSTED|Absolutely worn out
EXHIBITED|Put on show
EXISTENCE|Being there at all
EXPANDING|Getting bigger
EXPANSION|Growth outward
EXPECTING|Anticipating
EXPENSIVE|It costs a lot
EXPLAINED|Made it clear
EXPLODING|Going off
EXPLORERS|Ones who chart the unknown
EXPLORING|Poking about
EXPLOSION|Bang
EXPORTING|Selling abroad
EXPOSURES|Shots on the roll
EXPRESSED|Put into words
EXQUISITE|Beautifully fine
EXTENDING|Reaching further
EXTENSION|Add-on to the house
EXTERIORS|The outsides
EXTRACTED|Pulled out
FANTASTIC|Absolutely great
FAREWELLS|Goodbyes
FASCINATE|Grip the attention
FASHIONED|Made, or old-
FAVORABLE|Working in your favor
FAVORITES|The ones you like best
FEARFULLY|In a fright
FEATURING|Starring
FERTILIZE|Feed the soil
FESTIVALS|Weekends in a field
FIELDWORK|Research away from the desk
FIFTEENTH|Halfway through the month
FIREPLACE|Hearth
FIREWORKS|New Year's sky show
FISHERMAN|One with a rod
FLAGSTONE|Path slab
FLAMINGOS|Pink waders
FLATTERED|Made them feel good
FLAVORING|What the vanilla adds
FLOODGATE|Open the
FLOWERBED|Garden patch
FLOWERPOT|Where the geranium sits
FOLLOWERS|The ones behind
FOLLOWING|Coming next
FOOTBALLS|Pigskins
FOOTPRINT|Track in the sand
FOOTSTEPS|Follow in them
FOREHEADS|Above the eyes
FOREIGNER|One from abroad
FORESTERS|Woodland workers
FORGETFUL|Always leaving the keys
FORGIVING|Ready to let it go
FORMATION|Flying arrangement
FORMERLY|Once known as
FORTNIGHT|Two weeks
FORTUNATE|Lucky
FOUNTAINS|Water features
FRAGRANCE|A lovely smell
FRAMEWORK|The bones of it
FRANCHISE|Chain outlet, or the vote
FREQUENCY|How often, or the dial number
FRESHENED|Made it new again
FRIGHTFUL|Simply awful
FRUSTRATE|Block them at every turn
FULFILLED|Carried it out, or satisfied
FUNCTIONS|Does its job, or events
FURNITURE|Tables and chairs
GALLERIES|Where the paintings hang
GARDENERS|Ones with trowels
GARDENING|Weekend digging
GARGOYLES|Cathedral grotesques
GATHERING|A get-together
GENERATED|Produced
GENERATOR|Backup power source
GENTLEMAN|Well-mannered fellow
GENUINELY|Truly
GEOGRAPHY|Maps and capitals
GLADIATOR|Arena fighter of Rome
GLASSWARE|Tumblers and stems
GLISTENED|Shone with wet
GOALPOSTS|Move them
GOLDFINCH|Yellow garden bird
GOODNIGHT|Bedtime word
GOVERNING|Running the country
GRADUALLY|Bit by bit
GRADUATED|Got the degree
GRADUATES|Cap tossers
GRANDNESS|Sheer scale of it
GRAPEVINE|Heard it through it
GRASSLAND|Prairie
GRATITUDE|Thankfulness
GRAVEYARD|Where the headstones are
GREETINGS|Hello there
GRIEVANCE|A complaint at work
GROCERIES|Bagged at the checkout
GUARANTEE|The maker's promise
