ABANDON|Leave behind
OUTDOOR|In the open air
OUTER|Not inner
OUTLOOK|View ahead
OUTSIDE|Out of doors
OVAL|Egg's shape
OVEN|Baking box
OVER|Finished
OVERLAP|Partly cover
OWE|Be in debt
OWL|Night hooter
OWN|Have title to
OWNER|Title holder
PACE|Walking speed
PACIFIC|Ocean west of America
PACK|Fill a suitcase
PACKAGE|Delivered box
PACKING|Suitcase work
PAD|Notepad
PADDLES|Canoe pushers
PAGE|Book leaf
PAID|Settled up
PAIL|Bucket
PAIN|Ouch source
PAINT|Wall coating
PAINTED|Gave a coat to
PAINTER|Studio artist
PAIR|Two of a kind
PAL|Buddy
PALM|Beach tree
PAN|Skillet
PANCAKE|Syrup catcher
PANEL|Discussion group
PANIC|Sudden fright
PANTHER|Big black cat
PAPER|Printer feed
PAR|Golf standard
PARADES|Marching events
PARDONS|Forgives
PARENTS|Mom and dad
PARK|Green space
PARKING|Lot activity
PART|Piece
PARTNER|Teammate
PARTY|Bash
PASSAGE|Corridor
PASSING|Going by
PAST|Days gone by
PASTA|Noodle dish
PASTURE|Grazing land
PAT|Gentle tap
PATCH|Jeans mend
PATH|Trail
PATIENT|Doctor's caller
PATTERN|Repeating design
PAUSE|Brief stop
PAVE|Lay asphalt
PAW|Dog's foot
PAY|Settle the bill
PAYMENT|Bill settlement
PEA|Pod veggie
PEACE|Quiet calm
PEACH|Fuzzy fruit
PEACHES|Fuzzy fruits
PEAK|Summit
PEANUTS|Ballpark snack
PEAR|Bartlett fruit
PEARL|Oyster's gem
PEDAL|Bike pusher
PEEL|Banana's jacket
PEG|Coat hook
PEN|Ink writer
PENCILS|Eraser holders
PENGUIN|Tuxedoed bird
PENNIES|Copper coins
PENNY|Copper coin
PEP|Energy
PEPPERS|Bell or chili
PER|For each
PERCH|Bird's rest
PERFECT|Flawless
PERFUME|Bottled scent
PERHAPS|Maybe
PERMITS|Allows
PERSONS|Individuals
PET|Dog or cat
PEW|Church bench
PHONE|Pocket ringer
PHOTO|Snapshot
PIANO|Eighty-eight keys
PICK|Choose
PICKING|Choosing
PICNICS|Blanket meals
PICTURE|Framed art
PIE|Slice of dessert
PIECE|Portion
PIER|Fishing platform
PIG|Farm oinker
PILE|Stack
PILL|Pharmacy dose
PILLOWS|Bed cushions
PILOT|Cockpit worker
PIN|Bowling target
PINE|Needle tree
PINK|Pale red
PIONEER|Trailblazer
PIP|Apple seed
PIPE|Plumber's tube
PIT|Peach center
PITCH|Mound throw
PIZZA|Slice source
PLACE|Spot
PLAIN|Simple
PLAN|Blueprint
PLANE|Sky traveler
PLANETS|Solar system eight
PLANNED|Mapped out
PLANT|Pot's greenery
PLASTIC|Bottle material
PLATE|Dinner disc
PLATTER|Serving dish
PLAY|Stage show
PLAZA|Town square
PLEASED|Happy
PLOT|Story's arc
PLUG|Outlet filler
PLUS|Addition sign
PLY|Layer of plywood
POCKETS|Pants pouches
POD|Whale group
POEM|Verse
POET|Verse writer
POINT|Pencil's tip
POINTED|Sharp
POLAR|Like a certain bear
POLE|Flag holder
POND|Duck's water
POOL|Backyard swim spot
POP|Soda
POPCORN|Movie snack
POPULAR|Well liked
PORCH|Front step shelter
PORT|Harbor
PORTION|Serving
POSE|Model's stance
POST|Send by mail
POSTAGE|Stamp cost
POT|Stove vessel
POTTERY|Kiln work
POUND|Sixteen ounces
POUR|Fill a glass
POVERTY|Being broke
POWDERS|Fine grains
POWER|Electricity
PRAISED|Spoke well of
PRAYERS|Chapel words
PRECISE|Exact
PREDICT|Foretell
PREPARE|Get ready
PRESENT|Gift
PRESS|Push down
PRESSED|Ironed
PRETEND|Play make-believe
PREVENT|Head off
PRICE|Tag figure
PRIDE|Lion group
PRIMARY|Chief
PRINT|Send to the printer
PRINTER|Paper feeder
PRIVACY|Being left alone
PRIVATE|Not public
PRIZE|Contest winnings
PRO|Not an amateur
PROBLEM|Puzzle to solve
PROCEED|Carry on
PRODUCE|Grocery greens
PROFILE|Side view
PROFITS|Bottom line gains
PROGRAM|Playbill
PROMISE|Give your word
PROMOTE|Move up
PROOF|Evidence
PROTECT|Keep safe
PROTEIN|Muscle builder
PROUD|Beaming
PROVIDE|Supply
PRY|Nose around
PUB|British bar
PUBLISH|Put into print
PUDDING|Creamy dessert
PUDDLES|Rain leftovers
PUG|Flat-faced dog
PULL|Tug
PULSE|Wrist beat
PUMP|Gas station fixture
PUMPKIN|Halloween carve
PUN|Wordplay
PUNCH|Party drink
PUP|Young dog
PUPIL|Eye center
PUPPIES|Litter members
PURE|Unmixed
PURPOSE|Reason for being
PURSE|Handbag
PUSH|Opposite of pull
PUT|Place
PUZZLES|Brain teasers
PYRAMID|Egyptian tomb
QUALITY|Grade
QUARTER|Twenty-five cents
QUARTET|Group of four
QUEEN|Crowned woman
QUEST|Long search
QUICK|Fast
QUICKLY|In a hurry
QUIET|Hushed
QUILT|Patchwork cover
QUIT|Give up
QUIZ|Short test
RABBITS|Warren dwellers
RACE|Sprint contest
RADAR|Blip source
RADIATE|Give off
RADIO|Dashboard sound
RAFT|River float
RAG|Cleaning cloth
RAGE|Fury
RAIL|Track piece
RAILWAY|Train line
RAIN|Umbrella weather
RAINBOW|Sky arc
RAISE|Lift up
RAKE|Leaf gatherer
RAM|Butting sheep
RAMP|Loading incline
RAN|Took off
RANCH|Cattle spread
RANGE|Stove
RANK|Military standing
RAP|Knock
RAPID|Speedy
RARE|Hard to find
RAT|Sewer rodent
RATE|Speed
RATIO|Proportion
RAW|Uncooked
RAY|Beam of light
REACH|Stretch for
READ|Take in a book
READING|Book time
READY|All set
REAL|Genuine
REALITY|What's actually so
REALM|Kingdom
REBEL|Rule breaker
RECEIPT|Purchase proof
RECEIVE|Get
RECIPES|Cookbook contents
RECORDS|Vinyl discs
RECOVER|Get well
RED|Stop sign color
REEF|Coral ridge
REFER|Point to
REFLECT|Mirror's job
REFRESH|Reload the page
REFUSED|Said no
REGULAR|Usual
RELATED|Kin
RELAX|Unwind
RELAXED|At ease
RELEASE|Let go
REMAINS|What's left
REMOVED|Took away
REPAIRS|Fixes
REPLACE|Swap in
REPLY|Answer
REQUEST|Ask for
REQUIRE|Need
RESCUED|Saved
RESERVE|Book ahead
RESPECT|Look up to
RESPOND|Answer
REST|Take a break
RESULTS|Test scores
RETIRED|Off the job for good
RETURNS|Comes back
REVEALS|Lets on
REVIEWS|Critics' takes
REWARDS|Prizes
RHYME|Poet's chime
RIB|Chest bone
RIBBONS|Gift wrap curls
RICE|Sushi grain
RICH|Loaded
RIDDLES|Brain teasers
RIDE|Take the bus
RIDER|One in the saddle
RIDGE|Mountain crest
RIG|Set up
RIGHT|Left's opposite
RIM|Basket's hoop
RING|Finger jewelry
RIP|Tear apart
RISE|Get up
RISK|Gamble
RIVAL|Competitor
RIVER|Flowing water
ROAD|Paved route
ROAM|Wander
ROAR|Lion's sound
ROAST|Sunday dinner cut
ROASTED|Oven-cooked
ROB|Hold up
ROBBERY|Heist
ROBE|Bathrobe
ROBIN|Red-breasted bird
ROBOT|Mechanical helper
ROCK|Stone
ROCKETS|Launch vehicles
ROCKY|Full of stones
ROD|Fishing pole
ROE|Fish eggs
ROLE|Actor's part
ROLL|Dinner bread
ROMANCE|Love story
ROOF|House's top
ROOM|House division
ROOSTER|Dawn crower
ROOT|Plant's anchor
ROPE|Climber's line
ROSE|Valentine flower
ROT|Decay
ROTATES|Spins
ROUGH|Not smooth
ROUND|Circular
ROUTE|Path taken
ROUTINE|Daily habit
ROW|Line of seats
ROYAL|Kingly
RUB|Massage
RUDE|Ill-mannered
RUE|Feel sorry about
RUG|Floor covering
RUIN|Wreck
RULE|Regulation
RUM|Cocktail spirit
RUN|Sprint
RUNNING|Jogging
RURAL|Country
RUSH|Hurry
RUST|Old car's orange
RUT|Wheel groove
RYE|Deli bread
SAD|Feeling blue
SADNESS|The blues
SAFE|Out of danger
SAG|Droop
SAIL|Boat's canvas
SAILING|Yacht sport
SALAD|Greens bowl
SALON|Hair spot
SALT|Pepper's partner
SAME|Identical
SAND|Beach grit
SANDALS|Summer footwear
SANDY|Like a beach
SAP|Maple syrup source
SAT|Took a seat
SATISFY|Meet the need
SAUCE|Pasta topper
SAUSAGE|Breakfast link
SAVE|Put aside
SAVINGS|Nest egg
SAW|Cutting tool
SAY|Have your turn to speak
SCALE|Bathroom weigher
SCAR|Old wound's mark
SCARF|Neck warmer
SCENE|Play part
SCENT|Perfume's draw
SCHOOLS|Classroom buildings
SCIENCE|Lab subject
SCORE|Game tally
SCOUT|Badge earner
SCRAP|Leftover bit
SCRATCH|Light scrape
SEA|Ocean
SEAFOOD|Shrimp and scallops
SEAL|Zoo barker
SEASIDE|By the shore
SEASONS|Spring and fall
SEAT|Chair
SECONDS|Minute's sixty
SECRETS|Kept quiet
SECTION|Part
SEE|Look at
SEED|Planting start
SEEK|Look for
SEEKING|Looking for
SEEM|Appear
SEIZE|Grab hold of
SELL|Put on the market
SEND|Ship off
SENSE|Sight or smell
SERIOUS|No joking
SERVE|Wait on
SERVICE|Waitstaff's work
SET|Tennis unit
SETTING|Story's place
SEVEN|Lucky number
SEVENTY|Score plus fifty
SEVERAL|More than a few
SEW|Use a needle
SHADE|Tree's gift
SHADOWS|Sun's outlines
SHAKE|Diner milk drink
SHALLOW|Not deep
SHAMPOO|Hair wash
SHAPE|Circle or square
SHAPING|Molding
SHARE|Split up
SHARING|Splitting
SHARK|Fin flasher
SHARP|Keen
SHE|That woman
SHEEP|Wool source
SHEET|Bed cover
SHELF|Book rest
SHELL|Beach find
SHELTER|Storm refuge
SHELVES|Bookcase levels
SHERIFF|County lawman
SHIFT|Work stint
SHINE|Gleam
SHIP|Ocean liner
SHIPPED|Sent off
SHIRT|Buttoned top
SHOCK|Jolt
SHOE|Foot cover
SHONE|Gleamed
SHOOT|Take a photo
SHOP|Store
SHOPPER|Mall visitor
SHORE|Lake's edge
SHORT|Not tall
SHORTER|Not as tall
SHOT|Basketball attempt
SHOUT|Holler
SHOW|TV program
SHOWERS|April's rains
SHUT|Close
SHY|Bashful
SICK|Unwell
SIDE|Fries, at a diner
SIGHT|Vision
SIGN|Road marker
SILENCE|Total quiet
SILK|Smooth fabric
SILLY|Goofy
SILVERY|Like moonlight
SIMPLER|Less complicated
SIN|Wrongdoing
SINCE|From then on
SINGERS|Chorus members
SINK|Kitchen basin
SIP|Small drink
SIR|Knight's title
SIT|Take a seat
SITE|Web address
SITTING|Taking a seat
SIX|Half a dozen
SIXTEEN|Sweet birthday number
SIXTY|Minutes in an hour
SIZE|Shoe number
SKATE|Rink footwear
SKATING|Rink pastime
SKI|Slope slider
SKIRT|Below-the-waist wear
SKY|Cloud's home
SLAM|Shut hard
SLED|Snow ride
SLEEP|Get some rest
SLEEVES|Shirt parts
SLICE|Pie portion
SLIDE|Playground chute
SLIP|Lose footing
SLIPPER|Bedroom shoe
SLOW|Not fast
SLY|Foxlike
SMALL|Little
SMALLER|Not as big
SMART|Bright
SMELL|Nose's job
SMILE|Grin
SMOKE|Chimney output
SNACK|Between-meals bite
SNAKE|Slitherer
SNAP|Quick photo
SNEAKER|Gym shoe
SNOW|Winter fall
SOAP|Shower bar
SOB|Cry hard
SOCIETY|The public
SOCK|Drawer pair member
SOD|Lawn strip
SODA|Fizzy drink
SOFA|Living room seat
SOFT|Pillowy
SOFTEST|Most pillowy
SOIL|Garden dirt
SOLD|Off the market
SOLDIER|One in uniform
SOLID|Not liquid
SOLO|On one's own
SOLVE|Work out
SOME|A few
SOMEONE|A person
SON|Male child
SONG|Radio tune
SOON|Before long
SOP|Soak up
SORE|Achy
SORT|Type
SOUND|Ear's input
SOUP|Bowl starter
SOUR|Lemon's taste
SOUTH|Compass point
SOW|Plant seeds
SOY|Tofu source
SPA|Massage destination
SPACE|Final frontier
SPARE|Extra
SPARK|Fire's start
SPARKLE|Glitter
SPARROW|Small songbird
SPEAK|Talk
SPEAKER|Sound box
SPECIAL|One of a kind
SPEED|Rate of travel
SPELL|Put in letters
SPEND|Lay out cash
SPICE|Rack seasoning
SPIDERS|Web spinners
SPIN|Turn around
SPINACH|Popeye's green
SPINE|Backbone
SPOKE|Wheel rod
SPONSOR|Backer
SPOON|Soup utensil
SPORT|Athletic game
SPOT|Dalmatian mark
SPRAY|Mist
SPRINGS|Coils
SPY|Secret agent
SQUAD|Small team
SQUARES|Four-sided shapes
SQUEEZE|Give a hug
STACK|Pile up
STADIUM|Big game venue
STAFF|Employees
STAGE|Theater platform
STAIR|Step
STALL|Market booth
STAMP|Envelope sticker
STAMPED|Franked
STAND|Get on your feet
STANDBY|Waiting for a seat
STAPLER|Desk fastener
STAR|Night sky twinkler
STARE|Long look
START|Get going
STARTED|Got going
STATE|Fifty of them
STATION|Train stop
STATUES|Park sculptures
STAY|Remain
STEAK|Grilled cut
STEAM|Kettle's puff
STEEL|Strong alloy
STEEP|Sharply sloped
STEEPLE|Church spire
STEM|Flower's stalk
STEP|Stair
STEPPED|Took a stride
STEW|Slow-cooked pot
STICK|Twig
STILL|Motionless
STING|Bee's jab
STIR|Use a spoon
STIRRED|Mixed with a spoon
STOCK|Soup base
STOMACH|Belly
STONE|Rock
STOOL|Bar seat
STOP|Halt
STORAGE|Attic's use
STORE|Shop
STORIES|Bedtime tales
STORM|Thunder bringer
STORY|Tale
STOVE|Kitchen range
STRANGE|Odd
STRAP|Backpack band
STRAW|Sipper
STRETCH|Limber up
STRIP|Long narrow piece
STRIPES|Zebra's markings
STUDENT|Class member
STUDIED|Hit the books
STUDY|Hit the books
STY|Pig's pen
STYLE|Fashion sense
SUB|Long sandwich
SUBJECT|Class topic
SUCCESS|Making it
SUE|Take to court
SUGAR|Sweetener
SUGGEST|Put forward
SUIT|Business attire
SUITE|Hotel's best room
SUM|Total
SUMMARY|Short version
SUMMERS|Warm seasons
SUN|Daytime star
SUNDAYS|Weekend enders
SUNNY|Cloudless
SUNRISE|Dawn
SUNSETS|Evening skies
SUPER|Terrific
SUPPORT|Back up
SUPPOSE|Assume
SURE|Certain
SURFACE|Top layer
SURGEON|Operating doctor
SURVIVE|Come through
SWALLOW|Gulp down
SWAN|Graceful bird
SWEAT|Gym output
SWEATER|Wool pullover
SWEEP|Use a broom
SWEET|Sugary
SWIFT|Quick
SWIM|Do laps
SWIMMER|Lane user
SWING|Playground seat
SYSTEMS|Setups
TAB|Bar bill
TABLE|Dining surface
TAD|Little bit
TAG|Playground chase
TAIL|Dog's wagger
TAKE|Grab
TALE|Story
TALK|Chat
TALKING|Chatting
TALL|High up
TAM|Scottish cap
TAN|Beach souvenir
TANK|Fish's home
TAP|Faucet
TAPE|Sticky roll
TAR|Road paving goo
TASK|Chore
TASTE|Tongue's job
TAX|April payment
TEA|Steeped drink
TEACH|Give lessons
TEACHER|Classroom leader
TEACHES|Gives lessons
TEAM|Squad
TEAPOTS|Brewing vessels
TEAR|Rip
TEENAGE|Of the years thirteen to nineteen
TEETH|Dentist's concern
TELLING|Letting on
TEMPO|Music's speed
TEN|Perfect score
TENSION|Strain
TENT|Camper's shelter
TERRACE|Patio
TEXT|Phone message
TEXTURE|Feel of a fabric
THANK|Show gratitude
THE|Most common article
THEATER|Stage venue
THEME|Party's motif
THERAPY|Counseling
THICK|Not thin
THICKER|Less thin
THIEF|Robber
THIN|Slender
THING|Object
THINK|Use your head
THIRD|Bronze position
THIRSTY|Needing a drink
THOUGHT|Idea
THREE|Trio count
THROUGH|From end to end
THROW|Pitch
THUMB|Hitchhiker's digit
THUNDER|Storm rumble
THY|Your, of old
TIC|Nervous twitch
TICKETS|Show passes
TIDE|Ocean's rise
TIDY|Neat
TIE|Neck accessory
TIGER|Striped cat
TIGHT|Snug
TIGHTEN|Turn the screw
TILE|Bathroom square
TIMBERS|Roof beams
TIME|Clock's report
TIMER|Kitchen counter
TIN|Cookie container
TINY|Very small
TIP|Waiter's extra
TIRE|Car's rubber
TITLE|Book's name
TOAD|Warty hopper
TOAST|Breakfast slice
TOASTER|Bread browner
TOBACCO|Pipe filler
TODAY|This very day
TOE|Foot digit
TOLD|Let in on
TOLL|Bridge fee
TOMB|Burial place
TON|Two thousand pounds
TONE|Voice quality
TONIGHT|This evening
TOOK|Grabbed
TOOL|Hammer or wrench
TOOTH|Molar
TOP|Peak
TOPIC|Subject
TOPPING|Sundae's crown
TORCH|Handheld flame
TORN|Ripped
TORNADO|Twister
TOT|Toddler
TOTAL|Sum
TOUCH|Feel
TOUGH|Hard to chew
TOUR|Guided visit
TOURIST|Sightseer
TOW|Pull behind
TOWARDS|In the direction of
TOWEL|Beach drier
TOWER|Tall structure
TOWN|Small city
TOY|Playroom item
TRACK|Runner's oval
TRACTOR|Farm hauler
TRADE|Swap
TRAFFIC|Rush hour crawl
TRAGEDY|Sad drama
TRAIL|Hiker's path
TRAILER|Movie preview
TRAIN|Railway ride
TRAINER|Gym coach
TRAP|Snare
TRAVELS|Journeys
TRAY|Cafeteria carrier
TREAT|Halloween haul
TREATED|Cared for
TREE|Trunk and branches
TREND|Latest thing
TRIAL|Court hearing
TRIBE|Clan
TRICK|Halloween word
TRIM|Cut back
TRIP|Vacation
TRIUMPH|Big win
TROUBLE|Hot water
TROUSER|Pant leg
TRUCK|Big rig
TRUCKER|Big rig driver
TRUE|Not false
TRUMPET|Brass horn
TRUNK|Elephant's nose
TRUST|Rely on
TRUTH|The real story
TRY|Give it a shot
TUB|Bath vessel
TUBE|Toothpaste holder
TUESDAY|Monday's follower
TUG|Sharp pull
TULIP|Spring bulb
TUNA|Sandwich fish
TUNE|Melody
TUNNELS|Underground passages
TURKEYS|Thanksgiving birds
TURN|Your move
TUX|Formal jacket
TWICE|Two times
TWIG|Small branch
TWIN|Womb mate
TWIST|Wring
TWISTED|Wrung
TWO|Pair
TYPE|Use a keyboard
TYPICAL|Run of the mill
UNCLE|Dad's brother
UNDER|Beneath
UNICORN|Horned myth
UNIFORM|Team outfit
UNION|Workers' group
UNIT|Single item
UNITE|Join together
UNKNOWN|A mystery
UNTIL|Up to the time of
UNUSUAL|Out of the ordinary
UPGRADE|Better seat
UPPER|Higher
URBAN|City-like
URGE|Strong impulse
URN|Coffee dispenser
USE|Put to work
USED|Secondhand
USUAL|Run of the mill
UTENSIL|Fork or spoon
VACANCY|Motel sign word
VACUUMS|Carpet cleaners
VALUE|Worth
VAN|Moving vehicle
VANILLA|Plain ice cream
VAPOR|Steam
VARIETY|Assortment
VASE|Flower holder
VAST|Huge
VAT|Big brewing tub
VEHICLE|Car or truck
VEIN|Blood channel
VERSION|Edition
VERY|Extremely
VET|Animal doctor
VETERAN|Old hand
VIA|By way of
VIDEO|Clip
VIE|Compete
VIEW|Scenic outlook
VILLAGE|Small settlement
VINE|Grape climber
VINEGAR|Sour condiment
VIOLENT|Rough
VIOLETS|Purple blooms
VIRUS|Cold cause
VISIBLE|In plain sight
VISIT|Drop by
VISITOR|Guest
VITAL|Essential
VITAMIN|Daily supplement
VOCAL|Sung part
VOICE|Singer's instrument
VOLCANO|Lava source
VOLUMES|Book set members
VOTE|Ballot cast
VOW|Wedding promise
VOYAGES|Sea trips
WAD|Bunch of bills
WADE|Walk in shallows
WAG|Tail's move
WAGE|Weekly pay
WAGER|Bet
WAGON|Kid's puller
WAIST|Belt's spot
WAIT|Hold on
WAITING|Biding time
WAKE|Rise and shine
WALK|Stroll
WALKING|On foot
WALL|Room's side
WALLETS|Billfolds
WANT|Desire
WAR|Peace's opposite
WARM|Toasty
WARN|Give a heads-up
WARNING|Heads-up
WASH|Clean up
WASHING|Doing laundry
WATCH|Wrist timepiece
WATCHES|Wristpieces
WATER|Faucet flow
WAVE|Beach roller
WAX|Candle stuff
WAY|Route
WEAK|Not strong
WEALTHY|Well off
WEAPONS|Arms
WEAR|Have on
WEARY|Worn out
WEATHER|Forecast subject
WEB|Spider's work
WED|Get married
WEDDING|Aisle event
WEE|Tiny
WEED|Garden intruder
WEEK|Seven days
WEEKDAY|Monday, say
WEEKEND|Saturday and Sunday
WEIGHTS|Gym iron
WELCOME|Greeting on a mat
WELL|Water source
WENT|Departed
WEST|Sunset direction
WESTERN|Cowboy film
WET|Soaked
WHALE|Ocean giant
WHEAT|Bread grain
WHEEL|Car's round part
WHERE|Location question
WHEREAS|While on the other hand
WHETHER|If
WHICH|Choice question
WHILE|During
WHIP|Beat, as cream
WHISKER|Cat's face hair
WHISPER|Quiet word
WHISTLE|Ref's blower
WHITE|Snow's color
WHO|Question word
WHOLE|Entire
WHY|Question word
WIDE|Broad
WIDTH|How wide
WIFE|Spouse
WIG|Hairpiece
WILD|Untamed
WILL|Legal document
WILLING|Game for it
WIN|Take first
WINCE|Flinch
WIND|Breeze
WINDOWS|Panes
WINE|Vineyard product
WING|Bird's flapper
WINNERS|First place finishers
WINTERS|Cold seasons
WIPE|Clean off
WIRE|Electrician's line
WISE|Full of smarts
WISH|Birthday candle thought
WISHING|Hoping
WITNESS|Court testifier
WOE|Great sorrow
WOK|Stir-fry pan
WOLF|Pack howler
WOMAN|Adult female
WON|Took first
WONDERS|Marvels
WOO|Court
WOOD|Lumber
WOOL|Sweater fiber
WORD|Dictionary entry
WORE|Had on
WORK|Job
WORKERS|Staff
WORKING|On the job
WORLD|The globe
WORM|Early bird's catch
WORRIED|Anxious
WORRY|Fret
WORSE|Less good
WORTH|Value
WOULD|Conditional word
WOUND|Injury
WRAPPED|Gift-ready
WRIST|Watch's spot
WRITE|Put on paper
WRITERS|Authors
WRITING|Penning
WRONG|Not right
YACHT|Fancy boat
YAK|Shaggy ox
YAM|Sweet potato
YAP|Small dog's bark
YARD|Three feet
YARN|Knitter's supply
YEA|Vote for
YEAR|Twelve months
YEAST|Bread riser
YELL|Shout
YELLING|Shouting
YEN|Strong craving
YEP|Casual yes
YES|Affirmative reply
YEW|Evergreen shrub
YIELD|Give way
YOGURTS|Cultured snacks
YOUNG|Not old
YOUTH|Early years
ZAP|Microwave
ZEBRA|Striped runner
ZERO|Nothing at all
ZIP|Fasten a jacket
ZONE|Marked-off area
ZOO|Animal park
ABLAZE|On fire
ABOARD|On the ship
ABROAD|Overseas
ABSENT|Not here
ABSORB|Soak up
ACCEPT|Take what is offered
ACCESS|Way in
ACCUSE|Point the finger at
ACROSS|From one side to the other
ACTING|What the drama class teaches
ACTION|Where all of it is, supposedly
ACTIVE|Up and moving
ACTUAL|Real, not supposed
ADJUST|Fine-tune
ADMIRE|Look up to
ADVICE|What you asked your uncle for
ADVISE|Tell someone what you would do
AFFAIR|Event, or a scandal
AFFECT|Have an impact on
AFFORD|Have the money for
AFRAID|Scared
AGENCY|Bureau of representatives
AGENDA|List of what the meeting covers
AIRWAY|Breathing passage
ALMOND|Nut in marzipan
ALMOST|Nearly
ALWAYS|Every single time
AMOUNT|How much there is
ANCHOR|Ship's holding weight
ANIMAL|Creature of the kingdom
ANNUAL|Once a year
ANSWER|What the question wants
ANYONE|No person in particular
ANYWAY|Regardless
APPEAL|Plea, or charm
APPEAR|Show up
ARCADE|Row of games and tokens
ARCHER|Bow user
AROUND|On all sides
ARREST|Take into custody
ARRIVE|Get there
ARTIST|Studio worker
ASLEEP|Out for the night
ASPECT|Facet
ASSERT|State firmly
ASSESS|Size up
ASSIGN|Hand out, as a task
ASSIST|Lend a hand
ASSUME|Take for granted
ASSURE|Promise to
ATTACH|Fasten on
ATTACK|Go on the offensive
ATTEND|Show up for
ATTIRE|What you have on
AUTHOR|Book's writer
AUTUMN|Leaf-falling season
AVENUE|Wide city street
AWAKEN|Rouse from sleep
BABIES|Nursery occupants
BACKUP|Spare copy
BADGER|Striped burrower, or pester
BAKERY|Where the bread is made
BALLET|Dance on pointe
BALLOT|What you cast
BAMBOO|Panda's food
BANANA|Peel-and-eat yellow fruit
BANDIT|Highway robber
BANKER|Money manager
BANNER|Sign strung across the street
BARBER|Haircut giver
BARELY|Only just
BARLEY|Grain in soup
BARREL|Whiskey ages in one
BASKET|Hoop score, or picnic carrier
BATTER|Cake mix
BATTLE|Fight of some size
BEACON|Guiding light
BEAUTY|What the eye of the beholder sees
BECAME|Turned into
BECOME|Grow to be
BEFORE|Prior to
BEHALF|You act on someone's
BEHAVE|Mind your manners
BEHIND|To the rear
BELIEF|What you hold to be true
BELONG|Have a rightful place
BESIDE|Right next to
BETRAY|Sell out a friend
BETTER|Improved
BEWARE|Sign on the gate, with "of the dog"
BEYOND|Farther than
BIGGER|More sizable
BINARY|Ones and zeros
BIRDIE|One under par
BISHOP|Diagonal chess piece
BISTRO|Small cafe
BITTER|Like unsweetened chocolate
BLADES|Knife edges
BLAZER|Sport coat
BLEACH|Laundry whitener
BLINDS|Window slats
BLONDE|Fair haired
BLOODY|Gory
BLOUSE|Buttoned top
BOARDS|Planks
BODIES|Torsos and limbs
BOILER|Basement heater
BOLDLY|Bravely
BONNET|Tie-under-the-chin hat
BORDER|Line between countries
BORING|Dull
BORROW|Take with intent to return
BOTHER|Trouble yourself
BOTTLE|Milk container
BOTTOM|The very lowest part
BOUGHT|Purchased
BOUNCE|What a ball does
BOWLER|Cricket's pitcher, or a round hat
BOXCAR|Freight train unit
BRAIDS|Woven hair
BRAINS|Grey matter
BRANCH|Tree limb, or a bank office
BRANDS|Company names
BREACH|Gap in the wall
BREAKS|Rest periods
BREATH|What you hold underwater
BREEDS|Dog types
BREEZE|Light wind, or an easy job
BRIDAL|Wedding related
BRIDGE|It spans the river
BRIGHT|Well lit, or clever
BRINGS|Carries over
BROKEN|In pieces
BROKER|Deal middleman
BRONZE|Third-place metal
BROOCH|Pin worn on a lapel
BROOMS|Sweeping tools
BRUISE|Black and blue mark
BRUNCH|Late weekend meal
BUBBLE|Soap sphere
BUCKET|Mop's partner
BUCKLE|Belt fastener
BUDGET|What the spending has to fit
BUFFET|Serve-yourself spread
BUILDS|Constructs
BULLET|Gun round
BUNDLE|Tied-up armful
BUNKER|Sand trap
BURDEN|Heavy load to bear
BUREAU|Dresser, or a government office
BURGER|Patty on a bun
BURIAL|Funeral rite
BURNER|Stove top ring
BURROW|Rabbit hole
BUSHEL|Apple measure
BUSTLE|Hurry and noise
BUTLER|The one who did it, traditionally
BUTTER|Toast spread
BUTTON|Shirt fastener
BUYERS|Shoppers
BYPASS|Route around town
CABLES|TV wires
CACTUS|Prickly desert plant
CALLER|Phone dialer
CALMLY|Without panic
CAMERA|It takes the picture
CAMPER|Tent user
CAMPUS|College grounds
CANDID|Frank
CANDLE|Birthday cake topper
CANINE|Dog, formally
CANNON|Old artillery piece
CANOPY|Overhead cover
CANVAS|Painter's surface
CANYON|Deep river gorge
CARBON|Element in diamonds
CAREER|Your working life
CARPET|Wall-to-wall flooring
CARROT|Rabbit's favorite
CARTON|Egg holder
CARVED|Cut a shape into
CASHEW|Curved nut
CASINO|Where the chips are
CASKET|Coffin
CASTLE|Moat surrounds it
CASUAL|Not dressed up
CATTLE|Herd on the ranch
CAUGHT|Snagged
CAUSED|Brought about
CAVERN|Big cave
CAVITY|Tooth hole
CELERY|Crunchy green stalk
CELLAR|Below the house
CEMENT|Sidewalk stuff
CENSUS|Head count of the country
CENTER|The middle
CEREAL|Breakfast in a bowl
CHAINS|Snow tire aid
CHAIRS|Seats at the table
CHALET|Ski lodge
CHANCE|A shot at it
CHANGE|Coins, or make different
CHAPEL|Small church
CHARGE|Fee, or a rush forward
CHARMS|Bracelet danglers
CHARTS|Where the hits are ranked
CHEEKS|Face sides
CHEERS|Shouts of support
CHEESE|Say it for the camera
CHERRY|Pie fruit with a pit
CHIEFS|Leaders
CHILLY|Needing a jacket
CHIMES|Doorbell bells
CHOICE|What you get to make
CHOOSE|Pick one
CHORDS|Guitar strums
CHORUS|The part everybody sings
CHOSEN|Selected
CHROME|Shiny bumper finish
CHUNKS|Big pieces
CHURCH|Sunday building
CIGARS|Rolled tobacco
CINEMA|Movie house
